event_id,event_type,track_id,zone,frame_number,timestamp,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,duration_seconds
evt-000001,zone_intrusion,1,restricted_area,34,00:02.83,0.9757,314.9,127.8,400.3,395.9,
evt-000002,zone_intrusion,1,entrance_lobby,52,00:04.33,0.9526,478.7,88.4,568.3,256.3,
evt-000003,zone_intrusion,3,restricted_area,198,00:16.50,0.9867,195.1,149.0,292.1,399.7,
evt-000004,zone_intrusion,2,restricted_area,199,00:16.58,0.8539,323.3,143.6,416.2,366.0,
evt-000005,zone_intrusion,4,restricted_area,228,00:19.00,0.4062,127.0,107.4,175.7,240.0,
evt-000006,zone_intrusion,8,restricted_area,359,00:29.92,0.9876,188.8,111.4,308.0,389.9,
evt-000007,zone_intrusion,9,restricted_area,359,00:29.92,0.6385,361.3,167.9,455.0,392.2,
evt-000008,zone_intrusion,9,restricted_area,374,00:31.17,0.3506,426.4,97.9,512.3,266.2,
evt-000009,zone_intrusion,11,entrance_lobby,378,00:31.50,0.3609,503.3,89.4,556.8,209.1,
evt-000010,zone_intrusion,12,entrance_lobby,384,00:32.00,0.5187,525.6,83.8,586.0,233.9,
evt-000011,zone_intrusion,10,entrance_lobby,386,00:32.17,0.8532,577.1,107.9,705.5,298.9,
evt-000012,zone_intrusion,13,entrance_lobby,392,00:32.67,0.8125,583.6,92.8,645.2,229.1,
evt-000013,zone_intrusion,10,entrance_lobby,395,00:32.92,0.4961,657.0,102.0,767.0,285.1,
evt-000014,zone_intrusion,14,restricted_area,534,00:44.50,0.9874,275.2,95.4,371.4,398.7,
